Квартал,Дата отчета,Валюта отчета,"Выручка млн $","Операционная прибыль млн $","EBITDA млн $","Чистая прибыль млн $","Операционный денежный поток млн $","CAPEX млн $","FCF млн $","Див.выплата млн $","Див доход ао %","Дивиденды/прибыль %","Опер.расходы млн $","Себестоимость млн $","НИОКР млн $","Процентные расходы млн $","Активы млн $","Чистые активы млн $","Долг млн $","Наличность млн $","Чистый долг млн $","Цена акции ао руб","Число акций ао млн","Капитализация млн $","EV млн $","Баланс стоимость млн $","EPS $","FCF/акцию руб","BV/акцию руб","РентабEBITDA %","Чистаярентаб %","ДоходностьFCF %","ROE %","ROA %",P/E,P/S,P/BV,EV/EBITDA,Долг/EBITDA,"R&D/CAPEX %","CAPEX/Выручка %","d-mpg"
2018Q4,08.02.2019,USD,1419,16.0,62.0,38.0,70.0,41.0,29.0,0.000,0.00%,0.00%,521.0,882.0,371.0,29.0,4556,1266,1250,1156,94.0,17.8,1082,19281,19375,751,0.04,0.03,0.69,4.37%,2.68%,0.15%,3.00%,0.83%,507.4,13.6,25.7,312.5,1.52,904.9%,2.89%,37
2019Q1,01.05.2019,USD,1272,30.0,76.0,16.0,-213.0,62.0,-275.0,0.000,0.00%,0.00%,491.0,751.0,373.0,27.0,4931,1788,1132,1194,-62.0,25.5,1094,27919,27857,1277,0.01,-0.25,1.17,5.97%,1.26%,-0.98%,0.89%,0.32%,1745,21.9,21.9,366.5,-0.82,601.6%,4.87%,38
2019Q2,31.07.2019,USD,1531,59.0,114.0,35.0,30.0,58.0,-28.0,0.000,0.00%,0.00%,562.0,910.0,373.0,25.0,5102,1901,1069,1128,-59.0,30.4,1109,33680,33621,1381,0.03,-0.03,1.25,7.45%,2.29%,-0.08%,1.84%,0.69%,962.3,22.0,24.4,294.9,-0.52,643.1%,3.79%,38
2019Q3,30.10.2019,USD,1801,146.0,211.0,120.0,234.0,55.0,179.0,0.000,0.00%,0.00%,631.0,1024,406.0,24.0,5253,2176,910.0,1209,-299.0,28.7,1117,32080,31781,1667,0.11,0.16,1.49,11.7%,6.66%,0.56%,5.51%,2.28%,267.3,17.8,19.2,150.6,-1.42,738.2%,3.05%,38
2019Q4,04.02.2020,USD,2127,220.0,300.0,170.0,442.0,42.0,400.0,0.000,0.00%,0.00%,729.0,1178,395.0,18.0,6028,2827,529.0,1503,-974.0,46.2,1159,53523,52549,2328,0.15,0.35,2.01,14.1%,7.99%,0.75%,6.01%,2.82%,314.8,25.2,23.0,175.2,-3.25,940.5%,1.97%,39
2020Q1,29.04.2020,USD,1786,177.0,249.0,162.0,-65.0,55.0,-120.0,0.000,0.00%,0.00%,641.0,968.0,442.0,13.0,5864,3037,488.0,1385,-897.0,46.6,1224,57014,56117,2554,0.13,-0.10,2.09,13.9%,9.07%,-0.21%,5.33%,2.76%,351.9,31.9,22.3,225.4,-3.60,803.6%,3.08%,39
2020Q2,29.07.2020,USD,1932,173.0,257.0,157.0,243.0,91.0,152.0,0.000,0.00%,0.00%,675.0,1084,460.0,14.0,6583,3305,894.0,1775,-881.0,50.1,1174,58817,57936,2842,0.13,0.13,2.42,13.3%,8.13%,0.26%,4.75%,2.38%,374.6,30.4,20.7,225.4,-3.43,505.5%,4.71%,39
2020Q3,28.10.2020,USD,2801,449.0,506.0,390.0,339.0,74.0,265.0,0.000,0.00%,0.00%,781.0,1571,508.0,11.0,7023,3867,578.0,1771,-1193,78.1,1184,92417,91224,3384,0.33,0.22,2.86,18.1%,13.9%,0.29%,10.1%,5.55%,237.0,33.0,27.3,180.3,-2.36,686.5%,2.64%,40
2020Q4,29.01.2021,USD,3244,570.0,659.0,1781,554.0,74.0,480.0,0.000,0.00%,0.00%,881.0,1793,573.0,9.00,8962,5837,531.0,2290,-1759,91.8,1205,110631,108872,5319,1.48,0.40,4.41,20.3%,54.9%,0.43%,30.5%,19.9%,62.1,34.1,20.8,165.2,-2.67,774.3%,2.28%,40
2021Q1,28.04.2021,USD,3445,662.0,760.0,555.0,898.0,66.0,832.0,0.000,0.00%,0.00%,925.0,1858,610.0,9.00,10047,6477,551.0,3116,-2565,77.4,1213,93898,91333,5985,0.46,0.69,4.93,22.1%,16.1%,0.89%,8.57%,5.52%,169.2,27.3,15.7,120.2,-3.38,924.2%,1.92%,40
2021Q2,28.07.2021,USD,3850,831.0,943.0,710.0,952.0,64.0,888.0,0.000,0.00%,0.00%,999.0,2020,659.0,10.00,10691,7065,553.0,3793,-3240,85.6,1216,104114,100874,6572,0.58,0.73,5.40,24.5%,18.4%,0.85%,10.0%,6.64%,146.6,27.0,15.8,107.0,-3.44,1030%,1.66%,41
2021Q3,27.10.2021,USD,4313,948.0,1124,923.0,849.0,85.0,764.0,0.000,0.00%,0.00%,1138,2227,765.0,7.00,11153,7136,582.0,3608,-3026,105.8,1214,128441,125415,6644,0.76,0.63,5.47,26.1%,21.4%,0.59%,12.9%,8.28%,139.2,29.8,19.3,111.6,-2.69,900.0%,1.97%,41
2021Q4,03.02.2022,USD,4826,1207,1345,974.0,822.0,86.0,736.0,0.000,0.00%,0.00%,1219,2400,811.0,8.00,12419,7497,661.0,3608,-2947,146.1,1208,176537,173590,6880,0.81,0.61,5.70,27.9%,20.2%,0.42%,13.0%,7.84%,181.2,36.6,25.7,129.1,-2.19,943.0%,1.78%,41
2022Q1,04.05.2022,USD,5887,951.0,1202,786.0,995.0,71.0,924.0,0.000,0.00%,0.00%,1867,3069,1060,13.0,66915,55333,2157,6532,-4375,119.7,1393,166700,162325,5418,0.56,0.66,3.89,20.4%,13.4%,0.55%,1.42%,1.17%,212.1,28.3,30.8,135.0,-3.64,1493%,1.21%,42
2022Q2,03.08.2022,USD,6550,526.0,1138,447.0,1038,132.0,906.0,0.000,0.00%,0.00%,2502,3522,1300,25.0,67502,55169,3199,5992,-2793,87.1,1618,140895,138102,4817,0.28,0.56,2.98,17.4%,6.82%,0.64%,0.81%,0.66%,315.2,21.5,29.2,121.4,-2.45,984.8%,2.02%,43
2022Q3,24.09.2022,USD,5565,-64.0,232.0,66.0,0.000,0.000,0.000,0.000,0.00%,0.00%,1836,3211,1279,31.0,67811,54542,2890,5591,-2701,68.0,1615,109755,107054,5193,0.04,0.00,3.22,4.17%,1.19%,0.00%,0.12%,0.10%,1663,19.7,21.1,461.4,-11.6,,0.00%,43
2022Q4,02.11.2022,USD,5599,-117.0,1128,21.0,567.0,124.0,443.0,0.000,0.00%,0.00%,2552,3196,1366,19.0,67580,54750,2863,5855,-2992,68.0,1613,109619,106627,6093,0.01,0.27,3.78,20.1%,0.38%,0.40%,0.04%,0.03%,5220,19.6,18.0,94.5,-2.65,1102%,2.21%,44
2023Q1,27.02.2023,USD,5599,-117.0,484.0,21.0,567.0,124.0,443.0,0.000,0.00%,0.00%,2552,3196,1366,19.0,67580,54750,2863,5855,-2992,64.8,1613,104474,101482,6455,0.01,0.27,4.00,8.64%,0.38%,0.42%,0.04%,0.03%,4975,18.7,16.2,209.7,-6.18,1102%,2.21%,45
